league,date,Blue,Red,winner,BT,BTC,BTK,BTD,BTA,BTCS,BTG,BJ,BJC,BJK,BJD,BJA,BJCS,BJG,BM,BMC,BMK,BMD,BMA,BMCS,BMG,BA,BAC,BAK,BAD,BAA,BACS,BAG,BS,BSC,BSK,BSD,BSA,BSCS,BSG,RT,RTC,RTK,RTD,RTA,RTCS,RTG,RJ,RJC,RJK,RJD,RJA,RJCS,RJG,RM,RMC,RMK,RMD,RMA,RMCS,RMG,RA,RAC,RAK,RAD,RAA,RACS,RAG,RS,RSC,RSK,RSD,RSA,RSCS,RSG
2013LCKSPRING,2013-04-03,MVP Blue,NaJin Sword,1,Acorn,Shen,3,0,11,198,,Heart,Nocturne,1,1,12,115,,Easyhoon,Karthus,5,2,8,264,,Deft,Varus,5,0,9,224,,FLahm,Thresh,4,0,10,15,,MakNooN,Renekton,0,4,1,197,,Watch,Volibear,0,4,2,87,,SSONG,Kayle,2,4,0,249,,PraY,Caitlyn,1,4,1,220,,Cain,Lulu,0,2,3,15,
2013LCKSPRING,2013-04-03,NaJin Sword,MVP Blue,0,MakNooN,Kennen,0,6,1,145,,Watch,Volibear,2,4,1,78,,SSONG,Evelynn,3,5,4,170,,PraY,Caitlyn,1,5,1,203,,Cain,Lulu,2,5,4,17,,Acorn,Jayce,2,4,11,161,,Heart,Jarvan IV,4,0,16,79,,Easyhoon,Karthus,6,2,12,202,,Deft,Vayne,11,2,8,171,,FLahm,Thresh,2,0,14,11,
2013LCKSPRING,2013-04-05,MVP Ozone,KT Rolster A,1,Homme,Shen,2,3,16,229,,DanDy,Nocturne,2,0,13,128,,Dade,Karthus,8,2,10,293,,Imp,Kog'Maw,8,2,8,286,,Mata,Sona,1,0,17,41,,Vitamin,Renekton,1,6,2,183,,KaKAO,Jarvan IV,0,7,4,135,,Zero (Yoon Kyung-sup),Diana,5,4,1,254,,Hiro (Lee Woo-suk),Tristana,1,1,1,363,,Bust,Lulu,0,3,3,37,
2013LCKSPRING,2013-04-05,KT Rolster A,MVP Ozone,0,Vitamin,Darius,3,7,11,86,,KaKAO,Jarvan IV,6,4,11,108,,Zero (Yoon Kyung-sup),Kayle,3,8,10,151,,Hiro (Lee Woo-suk),Varus,7,6,12,140,,Bust,Sona,1,5,18,17,,Homme,Shen,4,4,19,118,,DanDy,Xin Zhao,2,8,18,68,,Dade,Diana,12,4,12,148,,Imp,Vayne,10,3,9,150,,Mata,Lulu,2,1,24,26,
2013LCKSPRING,2013-04-06,CJ Entus Blaze,SK Telecom T1 2,0,Flame,Rumble,2,2,4,197,,Helios (Shin Dong-jin),Nasus,0,2,3,123,,Ambition,Kha'Zix,1,4,1,290,,Cpt Jack,Varus,2,5,1,264,,Lustboy,Lulu,1,3,2,24,,Impact,Jayce,6,3,2,163,,Bengi,Jarvan IV,0,2,12,62,,Faker,Nidalee,6,0,7,198,,Piglet,Caitlyn,3,1,9,243,,PoohManDu,Fiddlesticks,1,0,11,49,
2013LCKSPRING,2013-04-06,SK Telecom T1 2,CJ Entus Blaze,1,Impact,Kennen,4,2,15,173,,Bengi,Lee Sin,2,2,18,75,,Faker,Karthus,12,2,9,296,,Piglet,Caitlyn,3,1,15,247,,PoohManDu,Fiddlesticks,2,4,14,52,,Flame,Kha'Zix,4,3,3,276,,Helios (Shin Dong-jin),Jarvan IV,1,7,5,95,,Ambition,Diana,1,6,6,291,,Cpt Jack,Varus,4,4,2,223,,Lustboy,Lulu,1,3,7,35,
2013LCKSPRING,2013-04-10,MVP Ozone,MVP Blue,1,Homme,Jax,7,4,11,153,,DanDy,Jarvan IV,0,5,24,93,,Dade,Twisted Fate,12,5,10,288,,Imp,Ezreal,7,2,17,272,,Mata,Blitzcrank,1,7,12,10,,Acorn,Jayce,8,3,11,240,,Heart,Nocturne,1,9,14,198,,Easyhoon,Ryze,7,5,10,225,,Deft,Varus,6,4,10,262,,FLahm,Sona,1,6,18,19,
2013LCKSPRING,2013-04-10,MVP Blue,MVP Ozone,1,Acorn,Renekton,5,3,10,214,,Heart,Nocturne,0,1,12,125,,Easyhoon,Karthus,6,1,6,256,,Deft,Ezreal,5,1,7,212,,FLahm,Sona,0,2,11,17,,Homme,Elise,3,5,0,139,,DanDy,Jarvan IV,0,3,4,120,,Dade,Twisted Fate,3,3,4,249,,Imp,Varus,2,3,5,250,,Mata,Lulu,0,2,7,21,
2013LCKSPRING,2013-04-12,NaJin Sword,SK Telecom T1 2,1,MakNooN,Elise,1,2,5,192,,Watch,Nocturne,2,1,7,113,,SSONG,Twisted Fate,7,1,3,218,,PraY,Miss Fortune,7,1,1,233,,Cain,Leona,1,0,8,13,,Impact,Shen,2,2,3,179,,Bengi,Lee Sin,0,3,2,95,,Faker,Lux,2,6,3,201,,Piglet,Caitlyn,0,5,3,237,,PoohManDu,Nami,1,2,2,14,
2013LCKSPRING,2013-04-12,SK Telecom T1 2,NaJin Sword,1,Impact,Jax,2,3,9,183,,Bengi,Volibear,2,3,8,90,,Faker,Twisted Fate,7,3,6,293,,Piglet,Miss Fortune,4,2,10,259,,PoohManDu,Fiddlesticks,2,1,13,42,,MakNooN,Shen,2,3,8,234,,Watch,Lee Sin,2,4,9,96,,SSONG,Zilean,7,5,2,218,,PraY,Varus,1,4,3,280,,Cain,Sona,0,1,5,29,
2013LCKSPRING,2013-04-13,CJ Entus Blaze,KT Rolster A,0,Flame,Kennen,2,3,7,266,,Helios (Shin Dong-jin),Lee Sin,2,4,7,99,,Ambition,Zed,3,6,5,336,,Cpt Jack,Caitlyn,4,5,5,216,,Lustboy,Lulu,1,5,11,34,,Vitamin,Elise,1,2,13,175,,KaKAO,Nasus,0,3,16,136,,Zero (Yoon Kyung-sup),Kha'Zix,16,2,5,283,,Hiro (Lee Woo-suk),Miss Fortune,4,2,10,241,,Bust,Thresh,2,3,14,27,
2013LCKSPRING,2013-04-13,KT Rolster A,CJ Entus Blaze,0,Vitamin,Rumble,0,7,8,183,,KaKAO,Nasus,2,7,11,136,,Zero (Yoon Kyung-sup),Diana,6,3,3,264,,Hiro (Lee Woo-suk),Miss Fortune,5,5,5,217,,Bust,Thresh,2,7,11,25,,Flame,Kennen,7,4,15,246,,Helios (Shin Dong-jin),Elise,4,4,12,70,,Ambition,Kha'Zix,14,3,12,311,,Cpt Jack,Caitlyn,3,2,9,211,,Lustboy,Lulu,1,2,18,60,
2013LCKSPRING,2013-04-17,SK Telecom T1 2,MVP Blue,1,Impact,Kennen,9,5,12,168,,Bengi,Nasus,3,4,15,89,,Faker,Jayce,6,3,9,291,,Piglet,Miss Fortune,5,3,11,235,,PoohManDu,Sona,1,3,16,17,,Acorn,Elise,1,4,8,181,,Heart,Evelynn,3,5,7,143,,Easyhoon,Kha'Zix,4,4,8,302,,Deft,Caitlyn,6,4,3,279,,FLahm,Thresh,4,7,9,14,
2013LCKSPRING,2013-04-17,MVP Blue,SK Telecom T1 2,0,Acorn,Jayce,1,4,0,98,,Heart,Elise,0,6,2,54,,Easyhoon,Karthus,1,1,1,112,,Deft,Caitlyn,1,3,0,151,,FLahm,Zyra,0,5,0,15,,Impact,Shen,5,1,9,100,,Bengi,Nasus,0,0,7,111,,Faker,LeBlanc,11,0,2,108,,Piglet,Varus,2,2,4,154,,PoohManDu,Sona,1,0,10,23,
2013LCKSPRING,2013-04-19,MVP Ozone,CJ Entus Blaze,0,Homme,Elise,0,6,5,154,,DanDy,Nasus,1,6,6,133,,Dade,Diana,1,4,3,289,,Imp,Vayne,5,1,3,363,,Mata,Sona,2,3,6,24,,Flame,Jayce,6,0,12,293,,Helios (Shin Dong-jin),Jarvan IV,1,3,15,105,,Ambition,Ryze,5,4,6,312,,Cpt Jack,Kog'Maw,6,1,7,269,,Lustboy,Thresh,2,1,12,39,
2013LCKSPRING,2013-04-19,CJ Entus Blaze,MVP Ozone,1,Flame,Jayce,6,1,3,164,,Helios (Shin Dong-jin),Nasus,1,0,10,67,,Ambition,Zed,3,2,5,170,,Cpt Jack,Kog'Maw,5,2,5,116,,Lustboy,Zyra,0,1,9,22,,Homme,Renekton,1,1,0,101,,DanDy,Jarvan IV,0,4,3,52,,Dade,Diana,1,4,5,135,,Imp,Ezreal,3,2,2,153,,Mata,Sona,1,4,5,6,
2013LCKSPRING,2013-04-20,NaJin Sword,KT Rolster A,1,MakNooN,Rumble,8,2,10,165,,Watch,Jarvan IV,2,2,18,120,,SSONG,Diana,6,1,10,283,,PraY,Twitch,7,0,11,268,,Cain,Sona,0,1,19,40,,Vitamin,Kennen,0,6,2,183,,KaKAO,Lee Sin,2,4,3,156,,Zero (Yoon Kyung-sup),Jayce,3,5,2,254,,Hiro (Lee Woo-suk),Caitlyn,0,4,5,289,,Bust,Thresh,1,4,5,29,
2013LCKSPRING,2013-04-20,KT Rolster A,NaJin Sword,0,Vitamin,Shen,6,3,3,196,,KaKAO,Lee Sin,2,4,3,118,,Zero (Yoon Kyung-sup),Ahri,0,5,6,246,,Hiro (Lee Woo-suk),Varus,2,5,4,200,,Bust,Lulu,0,6,5,38,,MakNooN,Diana,4,2,9,237,,Watch,Nocturne,1,4,7,140,,SSONG,Twisted Fate,12,2,6,282,,PraY,Twitch,4,1,15,212,,Cain,Leona,2,1,13,18,
2013LCKSPRING,2013-04-24,SK Telecom T1 2,KT Rolster A,1,Impact,Kennen,4,2,7,217,,Bengi,Zac,1,0,9,96,,Faker,Kha'Zix,7,3,3,286,,Piglet,Miss Fortune,6,0,6,225,,PoohManDu,Sona,2,4,9,21,,Vitamin,Rumble,1,5,5,132,,KaKAO,Nasus,1,2,5,147,,Zero (Yoon Kyung-sup),Jayce,4,4,3,185,,Hiro (Lee Woo-suk),Twitch,3,3,2,197,,Bust,Thresh,0,6,4,16,
2013LCKSPRING,2013-04-24,KT Rolster A,SK Telecom T1 2,0,Vitamin,Shen,0,2,11,259,,KaKAO,Elise,7,2,4,228,,Zero (Yoon Kyung-sup),Fizz,4,5,7,214,,Hiro (Lee Woo-suk),Ezreal,7,6,6,281,,Bust,Lulu,0,4,7,54,,Impact,Jayce,6,5,12,230,,Bengi,Lee Sin,4,3,11,118,,Faker,Twisted Fate,2,4,9,387,,Piglet,Vayne,6,3,3,261,,PoohManDu,Mordekaiser,1,3,12,66,
2013LCKSPRING,2013-04-26,MVP Ozone,NaJin Sword,0,Homme,Jarvan IV,1,4,3,168,,DanDy,Nasus,0,4,6,101,,Dade,Jayce,3,2,0,263,,Imp,Tristana,3,5,2,247,,Mata,Thresh,0,4,6,14,,MakNooN,Renekton,1,1,17,209,,Watch,Zac,5,0,6,94,,SSONG,Kha'Zix,4,2,9,297,,PraY,Miss Fortune,7,3,9,231,,Cain,Sona,2,1,15,17,
2013LCKSPRING,2013-04-26,NaJin Sword,MVP Ozone,0,MakNooN,Kha'Zix,3,3,1,362,,Watch,Lee Sin,0,3,4,100,,SSONG,Orianna,3,5,3,330,,PraY,Miss Fortune,0,5,6,239,,Cain,Thresh,0,2,5,22,,Homme,Jarvan IV,2,1,14,156,,DanDy,Nasus,4,1,13,134,,Dade,Ryze,4,2,8,303,,Imp,Vayne,7,1,5,302,,Mata,Sona,1,2,16,23,
2013LCKSPRING,2013-04-27,MVP Blue,CJ Entus Blaze,0,Acorn,Rumble,2,6,5,109,,Heart,Zac,1,4,5,81,,Easyhoon,Kha'Zix,4,2,1,219,,Deft,Caitlyn,2,4,3,200,,FLahm,Nami,0,4,7,14,,Flame,Diana,4,2,11,217,,Helios (Shin Dong-jin),Lee Sin,3,2,11,84,,Ambition,Zed,4,2,12,234,,Cpt Jack,Kog'Maw,8,1,7,192,,Lustboy,Lulu,1,2,14,41,
2013LCKSPRING,2013-04-27,CJ Entus Blaze,MVP Blue,1,Flame,Elise,6,1,7,311,,Helios (Shin Dong-jin),Nasus,2,4,13,91,,Ambition,Karthus,7,8,9,299,,Cpt Jack,Kog'Maw,2,5,7,263,,Lustboy,Nami,2,3,13,14,,Acorn,Rumble,1,4,14,226,,Heart,Diana,4,4,8,165,,Easyhoon,Orianna,4,2,11,300,,Deft,Ezreal,11,4,6,249,,FLahm,Thresh,1,5,15,15,
2013LCKSPRING,2013-05-01,MVP Blue,KT Rolster A,0,Acorn,Rumble,1,8,11,180,,Heart,Jarvan IV,1,8,16,79,,Easyhoon,Diana,6,4,5,283,,Deft,Varus,6,5,8,320,,FLahm,Sona,4,5,12,35,,Vitamin,Elise,9,1,10,170,,KaKAO,Zac,3,2,21,178,,Zero (Yoon Kyung-sup),Zed,12,5,13,320,,Hiro (Lee Woo-suk),Caitlyn,6,5,12,261,,Bust,Thresh,0,5,17,41,
2013LCKSPRING,2013-05-01,KT Rolster A,MVP Blue,1,Vitamin,Rumble,9,1,5,175,,KaKAO,Jarvan IV,0,2,15,110,,Zero (Yoon Kyung-sup),Diana,3,2,6,243,,Hiro (Lee Woo-suk),Varus,8,1,8,197,,Bust,Twisted Fate,1,1,11,44,,Acorn,Kennen,1,4,2,211,,Heart,Elise,0,5,1,85,,Easyhoon,Ryze,3,2,2,192,,Deft,Kog'Maw,2,5,3,156,,FLahm,Thresh,1,5,4,10,
2013LCKSPRING,2013-05-03,MVP Ozone,SK Telecom T1 2,1,Homme,Shen,1,1,10,295,,DanDy,Elise,1,2,11,98,,Dade,Ryze,8,1,8,249,,Imp,Varus,9,1,6,287,,Mata,Zyra,0,2,14,28,,Impact,Kennen,4,4,1,249,,Bengi,Jarvan IV,1,6,4,100,,Faker,Nidalee,1,2,2,237,,Piglet,Vayne,0,3,3,243,,PoohManDu,Thresh,1,4,2,25,
2013LCKSPRING,2013-05-03,SK Telecom T1 2,MVP Ozone,0,Impact,Jayce,4,7,0,103,,Bengi,Elise,1,6,3,34,,Faker,Syndra,1,7,2,99,,Piglet,Lee Sin,0,3,3,48,,PoohManDu,Ezreal,0,3,0,115,,Homme,Jarvan IV,4,1,9,101,,DanDy,Udyr,9,1,11,57,,Dade,Diana,6,1,10,129,,Imp,Tristana,5,0,7,148,,Mata,Anivia,2,3,11,20,
