league,date,Blue,Red,winner,BT,BTC,BTK,BTD,BTA,BTCS,BTG,BJ,BJC,BJK,BJD,BJA,BJCS,BJG,BM,BMC,BMK,BMD,BMA,BMCS,BMG,BA,BAC,BAK,BAD,BAA,BACS,BAG,BS,BSC,BSK,BSD,BSA,BSCS,BSG,RT,RTC,RTK,RTD,RTA,RTCS,RTG,RJ,RJC,RJK,RJD,RJA,RJCS,RJG,RM,RMC,RMK,RMD,RMA,RMCS,RMG,RA,RAC,RAK,RAD,RAA,RACS,RAG,RS,RSC,RSK,RSD,RSA,RSCS,RSG
2013LCKSUMMER,2013-07-03,MVP Ozone,Xenics Blast,1,Homme,Yorick,5,2,11,208,11.8,DanDy,Elise,1,4,12,107,9.2,Dade,Ryze,6,2,10,255,13.7,Imp,Vayne,9,1,8,202,13,Mata,Thresh,0,3,12,17,8,Stark (Park Min-seok),Shen,3,4,7,178,8.7,Quality,Sejuani,1,5,6,88,6.4,ManyReason,Malzahar,3,4,8,244,10.1,Bang,Draven,5,4,5,226,10.4,Chei,Fiddlesticks,0,4,7,23,5
2013LCKSUMMER,2013-07-03,Xenics Blast,MVP Ozone,0,Stark (Park Min-seok),Jarvan IV,4,6,12,167,11,Quality,Elise,3,7,12,102,9.6,ManyReason,Malzahar,7,7,8,259,13.8,Bang,Caitlyn,5,5,11,393,16.5,Chei,Zyra,2,7,16,38,9.2,Homme,Kennen,3,6,14,221,13.5,DanDy,Lee Sin,13,3,13,190,15.9,Dade,Ryze,10,3,11,340,17.9,Imp,Varus,4,5,21,305,16,Mata,Thresh,2,4,15,31,10.5
2013LCKSUMMER,2013-07-06,Jin Air Falcons,Xenics Storm,1,Fenix,Vladimir,9,4,13,234,15.1,Reapered,Lee Sin,4,3,11,82,9.6,Raven (Kim Ae-jun),Vayne,4,4,8,273,13.1,Roar (Oh Jang-won),Ezreal,9,3,10,297,15.4,StarLast,Nami,0,1,20,21,8.5,Ragan,Zac,1,6,6,138,7.5,DayDream,Jarvan IV,0,6,11,74,6.2,Coco,Karthus,9,7,2,305,13.4,Arrow,Twitch,3,4,7,215,10.1,Comet,Zyra,2,3,9,55,7.7
2013LCKSUMMER,2013-07-06,Xenics Storm,Jin Air Falcons,0,Ragan,Shen,2,3,5,306,13.7,DayDream,Elise,1,1,6,102,9,Coco,Zed,4,2,5,383,15.9,Arrow,Caitlyn,4,3,4,320,14.7,Comet,Thresh,2,2,8,49,9.1,Fenix,Zac,0,1,5,296,13,Reapered,Lee Sin,0,3,6,110,9.2,Raven (Kim Ae-jun),Vayne,6,3,1,344,16.1,Roar (Oh Jang-won),Kayle,3,1,6,408,16.5,StarLast,Zyra,2,5,8,39,10.4
2013LCKSUMMER,2013-07-12,MVP Ozone,Jin Air Falcons,1,Homme,Yorick,6,1,7,140,8.9,DanDy,Nunu,5,1,10,66,7.9,Dade,Ezreal,6,0,12,183,10.4,Imp,Twitch,3,2,9,125,7.9,Mata,Thresh,3,2,12,12,6.4,Fenix,Irelia,0,6,2,130,4.7,Reapered,Gangplank,0,3,5,78,4.3,Roar (Oh Jang-won),Kennen,2,4,3,128,5.6,Raven (Kim Ae-jun),Vayne,2,4,2,141,6.1,StarLast,Zyra,2,6,3,19,3.9
2013LCKSUMMER,2013-07-12,Jin Air Falcons,MVP Ozone,0,Fenix,Shen,0,3,0,120,4.5,Reapered,Elise,1,3,0,70,4.3,Raven (Kim Ae-jun),Ezreal,0,1,1,158,5.5,Roar (Oh Jang-won),Twitch,0,7,1,115,4.6,StarLast,Zyra,0,4,1,22,3.4,Homme,Yorick,3,0,2,157,7.6,DanDy,Lee Sin,6,0,8,62,6.9,Dade,Karthus,5,1,7,188,8.5,Imp,Vayne,4,0,3,167,7.9,Mata,Thresh,0,0,11,12,4.6
2013LCKSUMMER,2013-07-17,Xenics Storm,Xenics Blast,0,Ragan,Zac,0,4,2,300,11.9,DayDream,Lee Sin,1,4,1,100,7.8,Coco,Ezreal,2,1,2,394,14.4,Arrow,Caitlyn,2,3,2,368,14.3,Comet,Nami,0,4,3,21,7.9,Stark (Park Min-seok),Shen,3,0,11,278,15.2,Quality,Elise,3,2,8,123,11.6,ManyReason,Orianna,4,0,9,426,18,Bang,Vayne,5,1,5,294,15.8,Chei,Thresh,1,2,11,24,10.2
2013LCKSUMMER,2013-07-17,Xenics Blast,Xenics Storm,0,Stark (Park Min-seok),Kennen,0,7,5,144,7.8,Quality,Lee Sin,1,4,3,77,6.6,ManyReason,Twisted Fate,3,4,9,269,12,Bang,Ezreal,10,2,4,305,15.6,Chei,Fiddlesticks,1,7,6,22,6.6,Ragan,Ryze,7,2,6,224,14.1,DayDream,Nunu,1,3,20,79,9.8,Coco,Ahri,7,2,11,305,15.4,Arrow,Kog'Maw,8,1,9,175,13.1,Comet,Thresh,1,7,14,30,9.3
2013LCKSUMMER,2013-07-20,MVP Ozone,Xenics Storm,1,Homme,Shen,0,4,14,321,15,DanDy,Elise,0,4,8,116,10.3,Dade,Karthus,3,6,11,399,17,Imp,Vayne,13,1,3,385,20.4,Mata,Zyra,1,0,13,44,10.1,Ragan,Zac,6,3,5,301,14,DayDream,Yorick,2,4,9,91,8.8,Coco,Ahri,6,2,5,370,15.4,Arrow,Ezreal,0,4,7,334,12.7,Comet,Thresh,1,4,4,34,7.6
2013LCKSUMMER,2013-07-20,Xenics Storm,MVP Ozone,1,Ragan,Kennen,5,2,6,178,10.2,DayDream,Nunu,3,1,9,52,7.6,Coco,Ezreal,4,0,4,225,11,Arrow,Kog'Maw,5,1,5,158,9.7,Comet,Fiddlesticks,0,1,7,26,6.3,Homme,Dr. Mundo,0,5,2,162,7,DanDy,Evelynn,1,4,1,92,6,Dade,Jayce,3,2,1,175,8.2,Imp,Caitlyn,1,4,2,264,9.4,Mata,Nami,0,2,4,7,4.9
2013LCKSUMMER,2013-07-26,Jin Air Falcons,Xenics Blast,1,Fenix,Elise,8,4,5,204,12.8,Reapered,Nunu,3,2,12,80,10.1,Roar (Oh Jang-won),Ahri,1,0,17,260,12.8,Raven (Kim Ae-jun),Vayne,4,4,10,218,12.3,StarLast,Zyra,5,1,9,59,9.9,Stark (Park Min-seok),Shen,1,6,5,132,7.5,Quality,Evelynn,4,5,6,102,8,ManyReason,Orianna,2,2,6,306,11.4,Bang,Twitch,3,3,3,242,10,Chei,Thresh,1,5,6,23,5.9
2013LCKSUMMER,2013-07-26,Xenics Blast,Jin Air Falcons,0,Stark (Park Min-seok),Jayce,2,11,4,159,7.7,Quality,Lee Sin,9,7,9,90,9.4,ManyReason,Sejuani,6,6,9,181,10.1,Bang,Graves,6,7,8,233,11.2,Chei,Thresh,3,7,11,40,7.8,Fenix,Vayne,8,5,7,217,13,Reapered,Fizz,10,8,6,87,11.6,Roar (Oh Jang-won),Jax,11,6,6,220,14.5,Raven (Kim Ae-jun),Zed,8,5,9,267,14.5,StarLast,Sona,1,2,14,57,9.1
2013LCKSUMMER,2013-07-03,Chunnam Tech U.,NaJin Black Sword,0,NonameD,Jax,3,10,11,218,14.4,Raccoon,Zac,3,8,14,129,12,Mima,Zed,5,6,7,327,16.6,Riris,Caitlyn,10,4,8,378,20.1,Wolf (Lee Jae-wan),Thresh,2,6,16,31,11.1,Expession,Renekton,10,5,13,328,18.7,Watch,Lee Sin,5,4,24,151,14,SSONG,Syndra,8,4,17,378,19,PraY,Draven,6,7,22,364,19,Cain,Nami,4,3,26,30,12
2013LCKSUMMER,2013-07-03,NaJin Black Sword,Chunnam Tech U.,0,Expession,Zac,2,5,0,163,7.5,Watch,Evelynn,1,2,3,110,6.5,SSONG,Syndra,0,7,2,194,7.5,PraY,Draven,2,4,1,225,9.1,Cain,Nami,0,4,2,16,4.6,NonameD,Shen,3,0,12,193,11,Raccoon,Lee Sin,4,0,12,88,9.1,Mima,Gragas,5,2,10,204,11.2,Riris,Vayne,9,1,3,248,12.9,Wolf (Lee Jae-wan),Thresh,1,2,11,20,7.6
2013LCKSUMMER,2013-07-06,Jin Air Stealths,CJ Entus Blaze,0,TrAce,Zac,0,6,1,120,5.9,ActScene,Sejuani,0,3,3,87,5.5,HooN (Kim Nam-hoon),Jayce,2,3,0,249,9.2,ŁØAÐ,Varus,1,2,2,183,7.8,Wraith,Thresh,0,2,3,9,4.1,Flame,Kennen,4,0,7,275,11.9,Helios (Shin Dong-jin),Elise,4,1,5,77,7.7,Ambition,Ahri,2,1,9,268,11.3,Cpt Jack,Caitlyn,5,1,6,280,12,Lustboy,Nami,1,0,10,10,7.3
