league,date,Blue,Red,winner,BT,BTC,BTK,BTD,BTA,BTCS,BTG,BJ,BJC,BJK,BJD,BJA,BJCS,BJG,BM,BMC,BMK,BMD,BMA,BMCS,BMG,BA,BAC,BAK,BAD,BAA,BACS,BAG,BS,BSC,BSK,BSD,BSA,BSCS,BSG,RT,RTC,RTK,RTD,RTA,RTCS,RTG,RJ,RJC,RJK,RJD,RJA,RJCS,RJG,RM,RMC,RMK,RMD,RMA,RMCS,RMG,RA,RAC,RAK,RAD,RAA,RACS,RAG,RS,RSC,RSK,RSD,RSA,RSCS,RSG
2013LCKWINTER,2012-11-09,Xenics Storm,Azubu Frost,1,May (Kang Han-wool),Shen,5,3,8,351.0,,Nolja,Dr. Mundo,3,6,9,165.0,,Cornsalad,Twisted Fate,4,4,6,424.0,,SBs,Ezreal,3,1,7,388.0,,ManyReason,Zyra,0,2,8,30.0,,Shy,Singed,2,4,7,301.0,,CloudTemplar,Cho'Gath,4,3,8,213.0,,RapidStar,Anivia,4,3,8,387.0,,Woong (Jang Gun-woong),Kog'Maw,6,4,6,319.0,,MadLife,Sona,0,2,13,58.0,
2013LCKWINTER,2012-11-09,Azubu Frost,Xenics Storm,1,Shy,Jax,4,1,7,184.0,,CloudTemplar,Shen,1,0,18,141.0,,RapidStar,Diana,4,0,14,249.0,,Woong (Jang Gun-woong),Corki,9,2,6,224.0,,MadLife,Zyra,3,2,14,53.0,,May (Kang Han-wool),Vladimir,1,2,2,158.0,,Nolja,Rengar,1,7,4,103.0,,Cornsalad,Orianna,1,4,4,242.0,,SBs,Ezreal,2,4,2,191.0,,ManyReason,Blitzcrank,0,4,4,6.0,
2013LCKWINTER,2012-11-10,Incredible Miracle,KT Rolster A,1,Lilac (Jeon Ho-jin),Malphite,5,2,12,188.0,,Ring Troll,Lee Sin,5,0,11,124.0,,MidKing,Orianna,4,3,12,329.0,,Paragon,Corki,4,1,6,326.0,,Lasha,Leona,2,3,10,25.0,,Vitamin,Rumble,2,4,5,185.0,,Joono,Dr. Mundo,0,7,7,181.0,,Zero (Yoon Kyung-sup),Ahri,5,3,2,295.0,,Hiro (Lee Woo-suk),Ezreal,2,3,5,286.0,,Wall,Sona,0,3,7,23.0,
2013LCKWINTER,2012-11-10,KT Rolster A,Incredible Miracle,1,Vitamin,Jayce,4,4,7,197.0,,Joono,Lee Sin,0,3,16,114.0,,Zero (Yoon Kyung-sup),Cassiopeia,8,4,6,188.0,,Hiro (Lee Woo-suk),Corki,5,3,8,325.0,,Wall,Sona,3,3,14,17.0,,Lilac (Jeon Ho-jin),Rengar,4,5,4,173.0,,Ring Troll,Nocturne,2,3,6,128.0,,MidKing,Karthus,7,6,6,295.0,,Paragon,Ezreal,4,3,9,308.0,,Lasha,Leona,0,3,11,11.0,
2013LCKWINTER,2012-11-13,MVP White,NaJin Shield,0,Homme,Irelia,2,2,0,,,DanDy,Lee Sin,0,5,1,,,Mima,Orianna,0,3,2,,,Imp,Graves,0,2,0,,,SmallBrain,Zyra,0,4,0,,,Expession,Jax,8,0,0,,,MOKUZA,Rengar,2,2,6,,,HooN (Kim Nam-hoon),Twisted Fate,5,0,6,,,Bang,Ezreal,1,0,5,,,ViNylCat,Lulu,0,0,9,,
2013LCKWINTER,2012-11-13,NaJin Shield,MVP White,0,Expession,Jayce,1,2,0,,,MOKUZA,Rengar,1,3,1,,,HooN (Kim Nam-hoon),Ziggs,0,3,1,,,Bang,Varus,1,2,0,,,ViNylCat,Zyra,0,4,1,,,Homme,Irelia,4,1,6,,,DanDy,Skarner,2,1,8,,,Mima,Katarina,5,0,5,,,Imp,Ezreal,2,0,4,,,SmallBrain,Sona,1,1,4,,
2013LCKWINTER,2012-11-14,Team OP,KT Rolster A,1,May (Kang Han-wool),Malphite,1,4,14,,,Nolja,Rengar,4,1,10,,,Cornsalad,Karthus,6,6,10,,,SBs,Ezreal,8,3,10,,,ManyReason,Lulu,1,1,16,,,Vitamin,Jayce,2,3,13,,,Joono,Nocturne,3,5,8,,,Zero (Yoon Kyung-sup),Ahri,4,5,8,,,Hiro (Lee Woo-suk),Graves,6,4,4,,,Wall,Sona,0,3,13,,
2013LCKWINTER,2012-11-14,KT Rolster A,Team OP,1,Vitamin,Olaf,4,3,14,,,Joono,Skarner,3,3,15,,,Zero (Yoon Kyung-sup),Diana,3,2,12,,,Hiro (Lee Woo-suk),Ezreal,9,2,9,,,Wall,Blitzcrank,1,6,12,,,May (Kang Han-wool),Jayce,4,5,9,,,Nolja,Dr. Mundo,3,3,7,,,Cornsalad,Kassadin,3,6,6,,,SBs,Kog'Maw,4,5,10,,,ManyReason,Sona,1,3,13,,
2013LCKWINTER,2012-11-15,Azubu Frost,MVP White,1,Shy,Jayce,2,1,15,223.0,,CloudTemplar,Skarner,0,3,11,130.0,,RapidStar,Lux,8,1,10,225.0,,Woong (Jang Gun-woong),Corki,8,3,4,257.0,,MadLife,Zyra,1,2,14,53.0,,Homme,Irelia,2,5,1,199.0,,DanDy,Nocturne,0,3,8,167.0,,Mima,Twisted Fate,5,5,2,266.0,,Imp,Ezreal,3,1,1,268.0,,SmallBrain,Lulu,0,5,6,54.0,
2013LCKWINTER,2012-11-15,MVP White,Azubu Frost,0,Homme,Irelia,0,4,1,121.0,,DanDy,Skarner,1,2,2,86.0,,Mima,Vladimir,0,2,3,167.0,,Imp,Ezreal,2,2,0,170.0,,SmallBrain,Sona,1,4,2,7.0,,Shy,Rumble,3,1,6,155.0,,CloudTemplar,Shen,1,1,8,116.0,,RapidStar,Jayce,4,1,7,138.0,,Woong (Jang Gun-woong),Corki,5,1,6,139.0,,MadLife,Lulu,1,0,8,31.0,
2013LCKWINTER,2012-11-16,NaJin Shield,Incredible Miracle,1,Expession,Irelia,8,1,11,190.0,,MOKUZA,Nocturne,0,3,15,166.0,,HooN (Kim Nam-hoon),Diana,5,3,7,172.0,,Bang,Ezreal,8,0,9,247.0,,ViNylCat,Sona,0,3,15,18.0,,Lilac (Jeon Ho-jin),Shen,3,4,4,174.0,,Ring Troll,Udyr,1,5,8,113.0,,MidKing,Twisted Fate,4,4,5,206.0,,Paragon,Corki,1,3,5,242.0,,Lasha,Zyra,1,5,7,11.0,
2013LCKWINTER,2012-11-16,Incredible Miracle,NaJin Shield,1,Lilac (Jeon Ho-jin),Malphite,3,1,14,144.0,,Ring Troll,Cho'Gath,1,0,15,93.0,,MidKing,Diana,10,1,8,232.0,,Paragon,Ashe,6,1,8,201.0,,Lasha,Sona,0,1,14,22.0,,Expession,Olaf,2,5,1,158.0,,MOKUZA,Nocturne,0,5,3,107.0,,HooN (Kim Nam-hoon),Ryze,1,2,3,201.0,,Bang,Ezreal,1,3,3,180.0,,ViNylCat,Lulu,0,5,2,15.0,
2013LCKWINTER,2012-11-21,Team OP,NaJin Shield,0,May (Kang Han-wool),Singed,1,4,4,,,Nolja,Nocturne,1,5,4,,,Cornsalad,Orianna,1,4,3,,,SBs,Kog'Maw,3,5,2,,,ManyReason,Zyra,0,4,5,,,Expession,Irelia,4,3,7,,,MOKUZA,Olaf,5,0,9,,,HooN (Kim Nam-hoon),Diana,2,2,13,,,Bang,Graves,11,0,8,,,ViNylCat,Sona,0,1,20,,
2013LCKWINTER,2012-11-21,NaJin Shield,Team OP,0,Expession,Jax,1,3,4,,,MOKUZA,Nocturne,0,3,7,,,HooN (Kim Nam-hoon),Diana,3,5,4,,,Bang,Graves,6,4,2,,,ViNylCat,Sona,0,5,8,,,May (Kang Han-wool),Irelia,4,2,12,,,Nolja,Dr. Mundo,1,3,14,,,Cornsalad,Master Yi,9,1,6,,,SBs,Caitlyn,5,1,11,,,ManyReason,Zyra,1,3,15,,
2013LCKWINTER,2012-11-23,KT Rolster A,Azubu Frost,1,Vitamin,Olaf,5,3,9,,,Joono,Lee Sin,4,4,12,,,Zero (Yoon Kyung-sup),Zyra,7,3,11,,,Hiro (Lee Woo-suk),Ezreal,9,1,9,,,Wall,Lulu,0,4,16,,,Shy,Jax,4,2,5,,,CloudTemplar,Dr. Mundo,3,4,4,,,RapidStar,Jayce,4,7,4,,,Woong (Jang Gun-woong),Annie,2,9,6,,,MadLife,Brand,2,3,9,,
2013LCKWINTER,2012-11-23,Azubu Frost,KT Rolster A,1,Shy,Singed,5,2,9,,,CloudTemplar,Maokai,3,0,16,,,RapidStar,Twisted Fate,3,2,12,,,Woong (Jang Gun-woong),Corki,12,0,6,,,MadLife,Zyra,1,2,15,,,Vitamin,Jax,1,5,1,,,Joono,Nocturne,0,7,4,,,Zero (Yoon Kyung-sup),Orianna,3,4,2,,,Hiro (Lee Woo-suk),Ezreal,2,4,2,,,Wall,Lulu,0,4,4,,
