league,date,Blue,Red,winner,BT,BTC,BTK,BTD,BTA,BTCS,BTG,BJ,BJC,BJK,BJD,BJA,BJCS,BJG,BM,BMC,BMK,BMD,BMA,BMCS,BMG,BA,BAC,BAK,BAD,BAA,BACS,BAG,BS,BSC,BSK,BSD,BSA,BSCS,BSG,RT,RTC,RTK,RTD,RTA,RTCS,RTG,RJ,RJC,RJK,RJD,RJA,RJCS,RJG,RM,RMC,RMK,RMD,RMA,RMCS,RMG,RA,RAC,RAK,RAD,RAA,RACS,RAG,RS,RSC,RSK,RSD,RSA,RSCS,RSG
2014LCKRegionFinal,2014-08-27,Samsung White,SK Telecom T1 K,1,,Ryze,4,2,7,222,12.2,,Rengar,8,0,14,95,12.4,,Jayce,7,4,10,206,13.3,,Twitch,11,1,5,242,14.5,,Thresh,2,3,12,19,9,,Kayle,1,6,6,210,9.2,,Lee Sin,0,7,4,93,6.9,,Talon,7,8,2,170,10.1,,Graves,1,6,0,207,8.4,,Lulu,1,5,6,14,5.7
2014LCKRegionFinal,2014-08-27,SK Telecom T1 K,Samsung White,0,,Irelia,1,6,4,230,10.1,,Lee Sin,1,6,6,92,8.4,,Kassadin,4,3,3,286,12,,Lucian,1,5,4,313,11.7,,Lulu,1,3,4,21,6.9,,Ryze,4,0,6,268,13.8,,Kha'Zix,3,2,8,149,12.6,,Talon,8,2,6,302,15.8,,Twitch,8,1,9,277,16.2,,Braum,0,3,17,40,10.3
2014LCKRegionFinal,2014-08-27,Samsung White,SK Telecom T1 K,1,,Ryze,7,2,12,366,18.1,,Lee Sin,3,3,20,135,13.9,,Yasuo,11,4,16,368,19.5,,Twitch,12,6,11,309,18.7,,Braum,0,5,25,45,11.5,,Dr. Mundo,3,7,7,269,13.5,,Elise,4,8,6,115,11.3,,Zilean,8,5,9,359,17.3,,Graves,2,5,14,249,16,,Annie,3,8,10,24,10.8
2014LCKRegionFinal,2014-08-28,NaJin White Shield,KT Rolster Bullets,1,,Ryze,5,1,5,214,,,Lee Sin,7,1,13,69,,,Zed,4,0,11,278,,,Twitch,4,1,10,203,,,Janna,2,3,14,18,,,Lulu,1,7,2,115,,,Kha'Zix,4,5,1,91,,,Xerath,0,6,0,218,,,Kog'Maw,1,1,4,203,,,Leona,0,3,4,38,
2014LCKRegionFinal,2014-08-28,KT Rolster Bullets,NaJin White Shield,0,,Ryze,1,4,0,176,7.3,,Kha'Zix,0,4,0,84,5.5,,Jayce,0,3,1,215,7.8,,Kog'Maw,0,1,0,154,6.7,,Morgana,0,4,0,6,4.7,,Kayle,3,0,8,174,9.6,,Elise,1,0,7,64,7.5,,Ahri,6,0,5,241,11.4,,Twitch,3,0,4,178,9.8,,Thresh,3,1,8,22,7.4
2014LCKRegionFinal,2014-08-28,NaJin White Shield,KT Rolster Bullets,1,,Nidalee,7,2,6,270,,,Lee Sin,1,0,11,88,,,Yasuo,3,1,7,292,,,Twitch,6,1,9,195,,,Braum,1,0,13,32,,,Dr. Mundo,1,3,0,211,,,Elise,0,6,3,73,,,Ryze,2,4,1,229,,,Lucian,1,2,0,255,,,Nami,0,3,2,11,
2014LCKRegionFinal,2014-08-28,KT Rolster Arrows,NaJin White Shield,0,,Ryze,0,3,5,569,,,Kha'Zix,4,4,4,210,,,Jayce,4,5,9,375,,,Tristana,7,1,6,419,,,Braum,0,5,6,45,,,Nidalee,3,4,12,323,,,Elise,5,3,9,155,,,Orianna,3,2,12,508,,,Twitch,6,3,6,368,,,Thresh,1,3,14,39,
2014LCKRegionFinal,2014-08-28,NaJin White Shield,KT Rolster Arrows,1,,Ryze,6,1,14,187,,,Elise,0,2,12,80,,,Zed,8,1,6,213,,,Lucian,6,0,11,223,,,Janna,0,1,19,5,,,Dr. Mundo,1,3,0,155,,,Lee Sin,3,4,1,86,,,Yasuo,1,5,1,195,,,Tristana,0,3,2,141,,,Leona,0,5,3,21,
2014LCKRegionFinal,2014-08-28,KT Rolster Arrows,NaJin White Shield,0,,Jayce,3,6,3,267,,,Rengar,1,4,5,104,,,Ryze,0,3,5,252,,,Lucian,4,5,3,244,,,Zilean,0,5,5,17,,,Kayle,7,0,11,259,,,Lee Sin,5,1,13,109,,,Ahri,2,0,13,294,,,Twitch,9,2,10,199,,,Braum,0,5,21,37,
2014LCKRegionFinal,2014-08-30,SK Telecom T1 K,NaJin White Shield,0,,Dr. Mundo,1,4,6,278,,,Kha'Zix,1,4,5,149,,,Orianna,5,2,5,455,,,Vayne,4,3,4,444,,,Thresh,0,6,10,47,,,Kassadin,6,3,5,315,,,Lee Sin,3,3,12,145,,,Ahri,6,1,8,365,,,Lucian,4,1,11,533,,,Janna,0,3,15,30,
